Sex,Wr.Hnd,NW.Hnd,W.Hnd,Fold,Pulse,Clap,Exer,Smoke,Height,M.I,Age
Male,19.5,20.2,Right,R on L,60,Neither,Freq,Never,185.42,Imperial,32.667
Female,18.0,18.0,Right,L on R,92,Neither,Freq,Never,165.0,Metric,20.0
Female,18.0,18.5,Right,R on L,64,Neither,Freq,Never,164.0,Metric,20.167
Male,21.8,22.3,Right,R on L,76,Left,Freq,Never,195.0,Metric,25.5
Female,13.0,12.5,Right,L on R,80,Right,Freq,Never,165.0,Metric,18.167
Female,16.3,16.2,Right,L on R,92,Right,Some,Regul,152.4,Imperial,23.5
Male,21.5,21.6,Right,R on L,69,Right,Freq,Never,172.72,Imperial,70.417
Male,18.9,19.1,Right,L on R,68,Right,None,Never,180.34,Imperial,43.833
Male,20.5,20.0,Right,R on L,76,Right,Freq,Never,173.0,Metric,23.583
Male,14.0,15.5,Right,L on R,-2147483648,Neither,Freq,Heavy,,,21.083
Female,18.9,19.2,Right,L on R,74,Right,Some,Never,167.64,Imperial,44.25
Male,20.0,20.5,Right,R on L,-2147483648,Right,None,Never,187.96,Imperial,19.667
Male,18.5,19.0,Right,L on R,84,Right,Freq,Regul,187.0,Metric,17.917
Female,17.5,17.1,Right,R on L,80,Left,None,Never,167.0,Metric,18.417
Male,18.1,18.2,Left,Neither,-2147483648,Right,Some,Never,168.0,Metric,21.167
Male,20.2,20.3,Right,L on R,72,Neither,Some,Never,191.8,Imperial,17.5
Female,16.5,16.9,Right,R on L,60,Neither,Freq,Occas,169.2,Metric,29.083
Male,19.1,19.1,Right,Neither,-2147483648,Right,Some,Never,177.0,Metric,19.917
Female,17.6,17.2,Right,R on L,81,Left,Some,Never,168.0,Metric,18.5
Female,19.5,19.2,Right,R on L,70,Right,Some,Never,170.0,Metric,18.167
Female,16.5,15.0,Right,L on R,65,Right,Some,Regul,160.02,Imperial,32.75
Male,19.0,18.5,Right,L on R,-2147483648,Neither,Freq,Never,189.0,Metric,17.417
Male,19.0,18.5,Right,R on L,72,Right,Freq,Never,180.34,Imperial,17.333
Female,16.5,17.0,Right,L on R,-2147483648,Right,Some,Never,168.0,Metric,73.0
Male,20.5,19.5,Left,L on R,80,Right,Some,Occas,182.88,Imperial,18.667
Female,15.5,15.5,Right,Neither,50,Right,Some,Regul,,,18.5
Female,18.0,17.5,Right,R on L,48,Neither,Freq,Never,165.0,Metric,18.667
Female,17.5,18.0,Right,R on L,68,Neither,Freq,Never,157.48,Imperial,17.75
Female,19.0,18.5,Left,L on R,104,Left,Freq,Never,170.0,Metric,17.25
Male,20.5,20.5,Right,Neither,76,Right,Freq,Regul,172.72,Imperial,36.583
Female,16.7,17.0,Right,L on R,84,Left,Freq,Never,164.0,Metric,23.083
Female,20.5,20.5,Right,R on L,-2147483648,Left,Freq,Regul,,,19.25
Female,17.0,16.5,Right,R on L,70,Right,Some,Never,162.56,Imperial,17.167
Male,19.0,19.5,Right,R on L,68,Right,Freq,Occas,172.0,Metric,23.417
Female,14.0,13.5,Right,R on L,87,Neither,Freq,Occas,165.1,Imperial,17.083
Female,17.5,17.6,Right,L on R,79,Right,Some,Never,162.5,Metric,17.25
Male,18.5,19.0,Right,L on R,70,Left,Freq,Never,170.0,Metric,23.833
Male,18.0,18.5,Right,Neither,90,Right,Some,Never,175.0,Metric,18.75
Male,20.5,20.7,Right,R on L,72,Right,Some,Never,168.0,Metric,21.167
Female,17.0,17.0,Right,L on R,79,Right,Some,Never,163.0,Metric,24.667
Male,18.5,18.5,Right,R on L,65,Right,None,Never,165.0,Metric,18.5
Male,18.0,18.5,Right,R on L,62,Right,Freq,Never,173.0,Metric,20.333
Male,18.5,18.0,Right,Neither,63,Neither,Freq,Never,196.0,Metric,20.083
Male,20.0,19.5,Right,R on L,92,Right,Some,Never,179.1,Imperial,18.917
Male,22.0,22.5,Right,L on R,60,Right,Some,Never,180.0,Metric,27.333
Male,17.9,18.4,Right,R on L,68,Left,None,Occas,176.0,Metric,18.917
Female,17.6,17.8,Right,L on R,72,Left,Some,Never,160.02,Imperial,17.25
Female,16.7,15.1,Right,Neither,-2147483648,Right,None,Never,157.48,Imperial,18.167
Female,17.0,17.6,Right,L on R,76,Right,Some,Never,165.0,Metric,26.5
Female,15.0,13.0,Right,R on L,80,Neither,Freq,Never,170.18,Imperial,17.0
Male,16.0,15.5,Right,Neither,71,Right,Freq,Never,154.94,Imperial,17.167
Female,19.1,19.0,Right,R on L,80,Right,Some,Occas,170.0,Metric,19.167
Female,17.5,16.5,Right,R on L,80,Neither,Some,Never,164.0,Metric,17.5
Female,16.2,15.8,Right,R on L,61,Right,Some,Occas,167.0,Metric,19.25
Male,21.0,21.0,Right,L on R,48,Neither,Freq,Never,174.0,Metric,21.333
Female,18.8,17.8,Right,R on L,76,Right,Some,Never,,,18.583
Female,18.5,18.0,Right,Neither,86,Right,None,Never,160.0,Metric,20.167
Male,17.0,17.5,Right,R on L,80,Right,Some,Regul,179.1,Metric,18.667
Female,17.5,17.0,Right,R on L,83,Neither,Freq,Occas,168.0,Metric,17.083
Female,17.5,17.6,Right,L on R,76,Right,Some,Never,153.5,Metric,17.417
Male,17.5,17.6,Right,R on L,84,Right,Some,Never,160.0,Metric,18.583
Male,17.5,17.0,Left,L on R,97,Neither,None,Never,165.0,Metric,19.5
Female,20.8,20.7,Right,R on L,-2147483648,Neither,Freq,Never,171.5,Metric,18.5
Female,18.6,18.6,Right,L on R,74,Right,Some,Never,160.0,Metric,17.167
Female,17.5,17.5,Left,R on L,83,Neither,Some,Never,163.0,Metric,17.25
Male,18.0,18.5,Right,R on L,78,Right,Freq,Never,,,17.5
Male,17.0,17.5,Right,R on L,65,Right,Some,Never,165.0,Metric,20.417
Female,18.0,17.8,Right,L on R,68,Right,Some,Never,168.9,Imperial,17.083
Male,19.5,20.0,Right,Neither,-2147483648,Right,Some,Never,170.0,Metric,21.25
Female,16.3,16.2,Right,L on R,-2147483648,Right,None,Never,,,19.25
Male,18.2,19.8,Right,R on L,88,Right,Freq,Never,185.0,Metric,19.333
Female,17.0,17.3,Right,L on R,-2147483648,Neither,Freq,Never,173.0,Metric,19.167
Male,23.2,23.2,Right,L on R,75,Right,Freq,Never,188.0,Metric,18.917
Male,23.2,23.3,Right,L on R,-2147483648,Right,None,Heavy,171.0,Metric,20.917
Female,15.9,16.5,Right,R on L,70,Right,Freq,Never,167.64,Imperial,17.333
Female,17.5,18.4,Right,R on L,88,Right,Some,Never,162.56,Imperial,18.167
Female,17.5,17.6,Right,L on R,-2147483648,Right,Freq,Never,150.0,Metric,20.75
Female,17.6,17.2,Right,L on R,-2147483648,Right,Some,Never,,,19.917
Female,17.5,17.8,Right,R on L,96,Right,Some,Never,,,18.667
Female,18.8,18.3,Right,R on L,80,Right,Some,Heavy,170.18,Imperial,18.417
Male,20.0,19.8,Right,L on R,68,Right,Freq,Never,185.0,Metric,17.417
Female,18.6,18.8,Right,L on R,70,Right,Freq,Regul,167.0,Metric,20.333
Male,18.6,19.6,Right,L on R,71,Right,Freq,Occas,185.0,Metric,19.333
Female,18.8,18.5,Right,R on L,80,Right,Some,Never,169.0,Metric,18.167
Male,18.0,16.0,Right,R on L,-2147483648,Right,Some,Never,180.34,Imperial,20.75
Female,18.0,18.0,Right,L on R,85,Right,Some,Never,165.1,Imperial,17.667
Female,18.5,18.0,Right,L on R,88,Right,Some,Never,160.0,Metric,16.917
Female,17.5,16.5,Right,R on L,-2147483648,Right,Some,Never,170.0,Metric,18.583
Male,21.0,21.5,Right,R on L,90,Right,Some,Never,183.0,Metric,17.167
Female,17.6,17.3,Right,R on L,85,Right,Freq,Never,168.5,Metric,17.75
